record_id,term_en,term_de,term_norm_en,term_norm_de,mention_count
CARDIO_000758,Thallium-201,Thallium-201,thallium-201,thallium-201,1
CARDIO_000759,myocardium,Myokard,myocardium,myokard,5
CARDIO_000760,ARTERIAL LINE,ARTERIELLER ZUGANG,arterial line,arterieller zugang,2
CARDIO_000761,ECHO,ECHO,echo,echo,6
CARDIO_000762,secundum,secundum,secundum,secundum,2
CARDIO_000763,atrial septal defect,Vorhofseptumdefekt,atrial septal defect,vorhofseptumdefekt,6
CARDIO_000764,TropT,TropT,tropt,tropt,1
CARDIO_000765,XACT,XACT,xact,xact,1
CARDIO_000766,PCI,PCI,pci,pci,5
CARDIO_000767,imi,imi,imi,imi,1
CARDIO_000768,Aortogram,Aortogramm,aortogram,aortogramm,2
CARDIO_000769,CABBAGE,CABBAGE,cabbage,cabbage,1
CARDIO_000770,NON-CORONARY,NICHT-KORONAR,non-coronary,nicht-koronar,2
CARDIO_000771,ectopics beats,ektopische Herzschläge,ectopics beats,ektopische herzschläge,1
CARDIO_000772,ekg,ekg,ekg,ekg,3
CARDIO_000773,obstructive sleep apnea,obstruktive Schlafapnoe,obstructive sleep apnea,obstruktive schlafapnoe,39
CARDIO_000774,Aneurysms,Aneurysmen,aneurysms,aneurysmen,1
CARDIO_000775,PRE,PRE,pre,pre,3
CARDIO_000776,asystole,Asystolie,asystole,asystolie,3
CARDIO_000777,Cardiac Catheterization,Herzkatheterisierung,cardiac catheterization,herzkatheterisierung,2
CARDIO_000778,left main,linke Hauptarterie,left main,linke hauptarterie,1
CARDIO_000779,Restenosis,Restenose,restenosis,restenose,1
CARDIO_000780,circumflex,Circumflex,circumflex,circumflex,17
CARDIO_000781,beta blockers,Betablocker,beta blockers,betablocker,7
CARDIO_000782,bowel ischemia,Darmischämie,bowel ischemia,darmischämie,1
CARDIO_000783,ventricular,ventrikulär,ventricular,ventrikulär,6
CARDIO_000784,ETT,ETT,ett,ett,1
CARDIO_000785,PHR,PHR,phr,phr,1
CARDIO_000786,bypass graft,Bypass-Transplantat,bypass graft,bypass-transplantat,14
CARDIO_000787,MRCA,MRCA,mrca,mrca,1
CARDIO_000788,AORTIC DISSECTION,AORTENDISSECTION,aortic dissection,aortendissection,2
CARDIO_000789,CAROTID SERIES,KAROTIS-SERIE,carotid series,karotis-serie,1
CARDIO_000790,AV,AV,av,av,2
CARDIO_000791,PFO\AORTIC,PFO\AORTIC,pfo\aortic,pfo\aortic,1
CARDIO_000792,VALVE REPLACEMENT,KLAPPENAUSTAUSCH,valve replacement,klappenaustausch,2
CARDIO_000793,PFO\AORTIC,PFO\AORTIC,pfo\aortic,pfo\aortic,1
CARDIO_000794,Myocardial,Myokardial,myocardial,myokardial,4
CARDIO_000795,pLAD,pLAD,plad,plad,1
CARDIO_000796,dLAD,dLAD,dlad,dlad,1
CARDIO_000797,OM1,OM1,om1,om1,2
CARDIO_000798,mLAD,mLAD,mlad,mlad,1
CARDIO_000799,mid LAD,mittlerer Zweig der linken Koronararterie (LAD),mid lad,mittlerer zweig der linken koronararterie (lad),1
CARDIO_000800,atheroma,Atherom,atheroma,atherom,2
CARDIO_000801,Ctnt,Ctnt,ctnt,ctnt,1
CARDIO_000802,pre-eclampsia,Präeklampsie,pre-eclampsia,präeklampsie,1
CARDIO_000803,cardiac output,Herzzeitvolumen,cardiac output,herzzeitvolumen,18
CARDIO_000804,transverse myelitis,Transversale Myelitis,transverse myelitis,transversale myelitis,2
CARDIO_000805,ectopic Atrial beet,ektopische Vorhof-Rübe,ectopic atrial beet,ektopische vorhof-rübe,1
CARDIO_000806,tachy,Tachy,tachy,tachy,2
CARDIO_000807,acute ST,akute ST,acute st,akute st,2
CARDIO_000808,TW,TW,tw,tw,1
CARDIO_000809,LISINOPRIL,LISINOPRIL,lisinopril,lisinopril,1
CARDIO_000810,HYDROCHLOROTHIAZIDE,HYDROCHLOROTHIAZID,hydrochlorothiazide,hydrochlorothiazid,1
CARDIO_000811,catherization,Katheterisierung,catherization,katheterisierung,1
CARDIO_000812,Bradycardia,Bradykardie,bradycardia,bradykardie,1
CARDIO_000813,AV block,AV-Block,av block,av-block,13
CARDIO_000814,VPC,VPC,vpc,vpc,1
CARDIO_000815,monitors,Monitore,monitors,monitore,1
CARDIO_000816,Radial pulse,Radialpuls,radial pulse,radialpuls,1
CARDIO_000817,latanoprost,Latanoprost,latanoprost,latanoprost,4
CARDIO_000818,Etomidate,Etomidat,etomidate,etomidat,1
CARDIO_000819,SB rhythm,SB-Rhythmus,sb rhythm,sb-rhythmus,1
CARDIO_000820,NIBP,NIBP,nibp,nibp,1
CARDIO_000821,intra arterial,intraarteriell,intra arterial,intraarteriell,1
CARDIO_000822,lpressor,lpressor,lpressor,lpressor,1
CARDIO_000823,nodal-,nodal-,nodal-,nodal-,1
CARDIO_000824,apaced,apaced,apaced,apaced,1
CARDIO_000825,PDA,PDA,pda,pda,1
CARDIO_000826,lidocaine HCl,Lidocain-HCl,lidocaine hcl,lidocain-hcl,1
CARDIO_000827,angioplasties,Angioplastiken,angioplasties,angioplastiken,1
CARDIO_000828,circulating volume,Zirkulationsvolumen,circulating volume,zirkulationsvolumen,1
CARDIO_000829,T flips,T-Flips,t flips,t-flips,1
CARDIO_000830,late-peaking,Late-Peaking,late-peaking,late-peaking,1
CARDIO_000831,crescendo,Crescendo,crescendo,crescendo,3
CARDIO_000832,decrescendo,Decrescendo,decrescendo,decrescendo,1
CARDIO_000833,amphetamine,Amphetamin,amphetamine,amphetamin,1
CARDIO_000834,Heart failure,Herzinsuffizienz,heart failure,herzinsuffizienz,2
CARDIO_000835,Systolic,Systolisch,systolic,systolisch,4
CARDIO_000836,Angiography,Angiographie,angiography,angiographie,4
CARDIO_000837,cardiomegaly,Kardiomegalie,cardiomegaly,kardiomegalie,39
CARDIO_000838,cardiomyopathies,Kardiomyopathien,cardiomyopathies,kardiomyopathien,1
CARDIO_000839,sudden cardiac death,plötzlicher Herztod,sudden cardiac death,plötzlicher herztod,1
CARDIO_000840,monitoring equip,Überwachungsausrüstung,monitoring equip,überwachungsausrüstung,1
CARDIO_000841,flutter line,Flutterlinie,flutter line,flutterlinie,2
CARDIO_000842,angioplastied,angioplastiert,angioplastied,angioplastiert,1
CARDIO_000843,Coronary artery bypass grafting,Koronararterien-Bypass-Operation,coronary artery bypass grafting,koronararterien-bypass-operation,2
CARDIO_000844,internal thoracic artery,Arteria thoracica interna,internal thoracic artery,arteria thoracica interna,4
CARDIO_000845,left anterior descending artery,linke vordere absteigende Arterie,left anterior descending artery,linke vordere absteigende arterie,13
CARDIO_000846,cardio - pulmonary resuscitation,Herz-Lungen-Wiederbelebung,cardio - pulmonary resuscitation,herz-lungen-wiederbelebung,1
CARDIO_000847,FSE,FSE,fse,fse,7
CARDIO_000848,amyloid angiopathy,Amyloidangiopathie,amyloid angiopathy,amyloidangiopathie,2
CARDIO_000849,TIPS,TIPS,tips,tips,7
CARDIO_000850,Hydralazine,Hydralazin,hydralazine,hydralazin,4
CARDIO_000851,PTA,PTA,pta,pta,3
CARDIO_000852,pocket site,Implantationsstelle,pocket site,implantationsstelle,1
CARDIO_000853,balloon angioplasty,Ballonangioplastie,balloon angioplasty,ballonangioplastie,4
CARDIO_000854,A paced,Ein stimulierter,a paced,ein stimulierter,1
CARDIO_000855,intrinsic bts,intrinsisch bts,intrinsic bts,intrinsisch bts,1
CARDIO_000856,coreg,Coreg,coreg,coreg,2
CARDIO_000857,CARDIAC PERFORATIONS,HERZPERFORATIONEN,cardiac perforations,herzperforationen,1
CARDIO_000858,SEM,SEM,sem,sem,2
CARDIO_000859,Digoxin,Digoxin,digoxin,digoxin,19
CARDIO_000860,mid-LAD,mittlerer LAD-Abschnitt,mid-lad,mittlerer lad-abschnitt,1
CARDIO_000861,CFX,CFX,cfx,cfx,1
CARDIO_000862,pace maker,Herzschrittmacher,pace maker,herzschrittmacher,1
CARDIO_000863,nicardipine,Nicardipin,nicardipine,nicardipin,3
CARDIO_000864,Cabg,Cabg,cabg,cabg,1
CARDIO_000865,q,q,q,q,5
CARDIO_000866,cardiac catheterization,Herzkatheterisierung,cardiac catheterization,herzkatheterisierung,69
CARDIO_000867,coronary stenting,Koronarstentimplantation,coronary stenting,koronarstentimplantation,1
CARDIO_000868,BP,BP,bp,bp,157
CARDIO_000869,rapid ventricular rate,schnelle ventrikuläre Frequenz,rapid ventricular rate,schnelle ventrikuläre frequenz,1
CARDIO_000870,atrial fibrillation,Vorhofflimmern,atrial fibrillation,vorhofflimmern,167
CARDIO_000871,QAM,QAM,qam,qam,1
CARDIO_000872,19:03,19:03,19:03,19:03,1
CARDIO_000873,0.5mcg,"0,5 mcg",0.5mcg,"0,5 mcg",1
CARDIO_000874,Monday,Montag,monday,montag,1
CARDIO_000875,or,or,or,or,1
CARDIO_000876,beta - blocker,Beta-Blocker,beta - blocker,beta-blocker,8
CARDIO_000877,left ventricular dysfunction,linksventrikuläre Dysfunktion,left ventricular dysfunction,linksventrikuläre dysfunktion,7
CARDIO_000878,quinine,Chinin,quinine,chinin,6
CARDIO_000879,cardiac arrested,Herzstillstand,cardiac arrested,herzstillstand,1
CARDIO_000880,Atrial Rhthym,Vorhof-Rhythmus,atrial rhthym,vorhof-rhythmus,1
CARDIO_000881,Cardiomyopathy,Kardiomyopathie,cardiomyopathy,kardiomyopathie,2
CARDIO_000882,Echo,Echo,echo,echo,4
CARDIO_000883,sclerosis,Sklerose,sclerosis,sklerose,10
CARDIO_000884,circulation,Blutkreislauf,circulation,blutkreislauf,36
CARDIO_000885,monitor,Monitor,monitor,monitor,40
CARDIO_000886,dissection,Dissektion,dissection,dissektion,36
CARDIO_000887,arch,Aortenbogen,arch,aortenbogen,4
CARDIO_000888,LV,LV,lv,lv,72
CARDIO_000889,5,5,5,5,1
CARDIO_000890,electrocautery,Elektrokauterisation,electrocautery,elektrokauterisation,26
CARDIO_000891,right atrial pressure,Druck im rechten Vorhof,right atrial pressure,druck im rechten vorhof,7
CARDIO_000892,pre,pre,pre,pre,11
CARDIO_000893,atrium,Vorhof,atrium,vorhof,32
CARDIO_000894,AV,AV,av,av,4
CARDIO_000895,threshold,Schwellenwert,threshold,schwellenwert,18
CARDIO_000896,NG tube,NG-Sonde,ng tube,ng-sonde,17
CARDIO_000897,albumin,Albumin,albumin,albumin,46
CARDIO_000898,ARB,ARB,arb,arb,2
CARDIO_000899,oculocardiac reflex,okulokardialer Reflex,oculocardiac reflex,okulokardialer reflex,1
CARDIO_000900,troponins,Troponine,troponins,troponine,14
CARDIO_000901,CHF,CHF,chf,chf,102
CARDIO_000902,vascular surgeries,Gefäßchirurgie,vascular surgeries,gefäßchirurgie,1
CARDIO_000903,MICROANGIOPATHIC,MIKROANGIOPATHISCH,microangiopathic,mikroangiopathisch,1
CARDIO_000904,aortosphaenous,aortosphänoidal,aortosphaenous,aortosphänoidal,1
CARDIO_000905,systolic ejection murmurs,systolische Ejektionsgeräusche,systolic ejection murmurs,systolische ejektionsgeräusche,1
CARDIO_000906,felodipine,Felodipin,felodipine,felodipin,6
CARDIO_000907,lidocaine,Lidocain,lidocaine,lidocain,9
CARDIO_000908,CAD,CAD,cad,cad,64
CARDIO_000909,AV -,AV -,av -,av -,1
CARDIO_000910,stress test,Belastungstest,stress test,belastungstest,94
CARDIO_000911,pulmonary arteries,Lungenarterien,pulmonary arteries,lungenarterien,7
CARDIO_000912,unroofed,ohne Dach,unroofed,ohne dach,2
CARDIO_000913,CVA,CVA,cva,cva,69
CARDIO_000914,ventricular fibrillation,Kammerflimmern,ventricular fibrillation,kammerflimmern,13
CARDIO_000915,VA ECMO,VA-ECMO,va ecmo,va-ecmo,1
CARDIO_000916,CPR,CPR,cpr,cpr,22
CARDIO_000917,medics,Sanitäter,medics,sanitäter,5
CARDIO_000918,AV block,AV-Block,av block,av-block,7
CARDIO_000919,transpulmonary gradient,transpulmonaler Gradient,transpulmonary gradient,transpulmonaler gradient,1
CARDIO_000920,pulmonary vascular resistance,pulmonaler Gefäßwiderstand,pulmonary vascular resistance,pulmonaler gefäßwiderstand,1
CARDIO_000921,MI,MI,mi,mi,63
CARDIO_000922,Cardiolite,Cardiolite,cardiolite,cardiolite,13
CARDIO_000923,HTN,HTN,htn,htn,130
CARDIO_000924,ring,Ring,ring,ring,16
CARDIO_000925,ICD,ICD,icd,icd,32
CARDIO_000926,antihypertensive,blutdrucksenkend,antihypertensive,blutdrucksenkend,8
CARDIO_000927,acute MI,Akuter Herzinfarkt,acute mi,akuter herzinfarkt,3
CARDIO_000928,EKG,EKG,ekg,ekg,70
CARDIO_000929,adenosine stress test,Adenosin-Belastungstest,adenosine stress test,adenosin-belastungstest,5
CARDIO_000930,atypical antipsychotics,atypische Antipsychotika,atypical antipsychotics,atypische antipsychotika,1
CARDIO_000931,echo,Echokardiographie,echo,echokardiographie,32
CARDIO_000932,premature ventricular contractions,vorzeitige ventrikuläre Kontraktionen,premature ventricular contractions,vorzeitige ventrikuläre kontraktionen,4
CARDIO_000933,dysrhythmia,Herzrhythmusstörung,dysrhythmia,herzrhythmusstörung,5
CARDIO_000934,sotalol,Sotalol,sotalol,sotalol,7
CARDIO_000935,pacemaker,Herzschrittmacher,pacemaker,herzschrittmacher,9
CARDIO_000936,Cerebral Angiography,Zerebrale Angiographie,cerebral angiography,zerebrale angiographie,1
CARDIO_000937,ACE inhibitors,ACE-Hemmer,ace inhibitors,ace-hemmer,2
CARDIO_000938,pressors,Blutdruckerhöher,pressors,blutdruckerhöher,4
CARDIO_000939,hyperaldosteronism,Hyperaldosteronismus,hyperaldosteronism,hyperaldosteronismus,1
CARDIO_000940,EKG,EKG,ekg,ekg,94
CARDIO_000941,carotid,Halsschlagader,carotid,halsschlagader,11
CARDIO_000942,pulmonary artery catheter,Pulmonalarterienkatheter,pulmonary artery catheter,pulmonalarterienkatheter,2
CARDIO_000943,coronary artery,Koronararterie,coronary artery,koronararterie,32
CARDIO_000944,angiotensin,Angiotensin,angiotensin,angiotensin,3
CARDIO_000945,acute coronary,akute Koronarerkrankung,acute coronary,akute koronarerkrankung,1
CARDIO_000946,monitor,Monitor,monitor,monitor,1
CARDIO_000947,eclampsia,Eklampsie,eclampsia,eklampsie,1
CARDIO_000948,heart disease,Herzerkrankung,heart disease,herzerkrankung,42
CARDIO_000949,brain stem,Hirnstamm,brain stem,hirnstamm,12
CARDIO_000950,wide complex tachycardias,Tachykardien mit breitem Komplex,wide complex tachycardias,tachykardien mit breitem komplex,1
CARDIO_000951,right coronary artery,rechte Koronararterie,right coronary artery,rechte koronararterie,41
CARDIO_000952,treadmill stress test,Laufband-Belastungstest,treadmill stress test,laufband-belastungstest,2
CARDIO_000953,endoleak,Endoleak,endoleak,endoleak,4
CARDIO_000954,cardiopulmonary bypass,kardiopulmonaler Bypass,cardiopulmonary bypass,kardiopulmonaler bypass,7
CARDIO_000955,cardioplegia,Kardioplegie,cardioplegia,kardioplegie,5
CARDIO_000956,radioactive iodine,radioaktives Jod,radioactive iodine,radioaktives jod,2
CARDIO_000957,predilate,vorerweitern,predilate,vorerweitern,1
CARDIO_000958,angioplasty,Angioplastie,angioplasty,angioplastie,48
CARDIO_000959,reangioplasty,Reangioplastik,reangioplasty,reangioplastik,1
CARDIO_000960,anterior cerebral,vorderer Hirnarterie,anterior cerebral,vorderer hirnarterie,1
CARDIO_000961,AAA,AAA,aaa,aaa,2
CARDIO_000962,drug - eluting stent,medikamentenfreisetzender Stent,drug - eluting stent,medikamentenfreisetzender stent,4
CARDIO_000963,subclavian,Subclavia,subclavian,subclavia,52
CARDIO_000964,vascular endothelium,Gefäßendothel,vascular endothelium,gefäßendothel,1
CARDIO_000965,idioventricular paced,idioventrikulär stimuliert,idioventricular paced,idioventrikulär stimuliert,1
CARDIO_000966,hemorrhagic CVA,hämorrhagischer Schlaganfall,hemorrhagic cva,hämorrhagischer schlaganfall,1
CARDIO_000967,Q - R axis,Q-R-Achse,q - r axis,q-r-achse,1
CARDIO_000968,V-V offset,V-V-Offset,v-v offset,v-v-offset,1
CARDIO_000969,left ventricular function,Funktion des linken Ventrikels,left ventricular function,funktion des linken ventrikels,7
CARDIO_000970,intracerebral hemorrhage,intrazerebrale Blutung,intracerebral hemorrhage,intrazerebrale blutung,12
CARDIO_000971,off -,off -,off -,off -,1
CARDIO_000972,right atrial,rechter Vorhof,right atrial,rechter vorhof,20
CARDIO_000973,P,P,p,p,1
CARDIO_000974,VT,VT,vt,vt,12
CARDIO_000975,TR,TR,tr,tr,6
CARDIO_000976,defibrillation,Defibrillation,defibrillation,defibrillation,13
CARDIO_000977,posterolateral branch,posterolateraler Ast,posterolateral branch,posterolateraler ast,3
CARDIO_000978,Guidant Easytrak 2 IS1 lead,Guidant Easytrak 2 IS1-Elektrode,guidant easytrak 2 is1 lead,guidant easytrak 2 is1-elektrode,1
CARDIO_000979,regurgitation,Regurgitation,regurgitation,regurgitation,23
CARDIO_000980,flecainide,Flecainid,flecainide,flecainid,7
CARDIO_000981,AV nodal,AV-Knoten,av nodal,av-knoten,7
CARDIO_000982,congestive failure,kongestive Herzinsuffizienz,congestive failure,kongestive herzinsuffizienz,2
CARDIO_000983,C3,C3,c3,c3,33
CARDIO_000984,postventricular atrial refractory,postventrikuläre atriale Refraktärphase,postventricular atrial refractory,postventrikuläre atriale refraktärphase,1
CARDIO_000985,cardiology,Kardiologie,cardiology,kardiologie,26
CARDIO_000986,vagi,vagi,vagi,vagi,1
CARDIO_000987,cardiologists,Kardiologen,cardiologists,kardiologen,1
CARDIO_000988,reflex tachycardia,Reflex-Tachykardie,reflex tachycardia,reflex-tachykardie,1
CARDIO_000989,nitroprusside,Nitroprussid,nitroprusside,nitroprussid,3
CARDIO_000990,postaortic valve replacement,Nach der Aortenklappenersatzoperation,postaortic valve replacement,nach der aortenklappenersatzoperation,1
CARDIO_000991,stress test,Belastungstest,stress test,belastungstest,6
CARDIO_000992,devitalized,devitalisiert,devitalized,devitalisiert,1
CARDIO_000993,stenting,Stentimplantation,stenting,stentimplantation,16
CARDIO_000994,coronary sinus,Koronarsinus,coronary sinus,koronarsinus,15
CARDIO_000995,Warfarin,Warfarin,warfarin,warfarin,3
CARDIO_000996,SIMVASTATIN,SIMVASTATIN,simvastatin,simvastatin,5
CARDIO_000997,LEVOTHYROXINE,LEVOTHYROXIN,levothyroxine,levothyroxin,4
CARDIO_000998,terazosin,Terazosin,terazosin,terazosin,6
CARDIO_000999,TERAZOSIN,TERAZOSIN,terazosin,terazosin,2
CARDIO_001000,metolazone,Metolazon,metolazone,metolazon,5
CARDIO_001001,METOLAZONE,METOLAZON,metolazone,metolazon,1
CARDIO_001002,CAD,CAD,cad,cad,53
CARDIO_001003,Systolic,Systolisch,systolic,systolisch,6
CARDIO_001004,End - Systolic,Ende – Systole,end - systolic,ende – systole,2
CARDIO_001005,Ejection Fraction,Ejektionsfraktion,ejection fraction,ejektionsfraktion,3
CARDIO_001006,Stroke Volume,Schlagvolumen,stroke volume,schlagvolumen,3
CARDIO_001007,Cardiac Output,Herzzeitvolumen,cardiac output,herzzeitvolumen,3
CARDIO_001008,Aorta,Aorta,aorta,aorta,5
CARDIO_001009,SCLEROSIS,SKLEROSE,sclerosis,sklerose,2
CARDIO_001010,pulses,Pulse,pulses,pulse,10
CARDIO_001011,Vital signs,Vitalparameter,vital signs,vitalparameter,28
CARDIO_001012,TPR,TPR,tpr,tpr,1
CARDIO_001013,vital,Vitalwerte,vital,vitalwerte,6
CARDIO_001014,pulse - ox,Puls - ox,pulse - ox,puls - ox,1
CARDIO_001015,serosal surfaces,Serosaoberflächen,serosal surfaces,serosaoberflächen,1
CARDIO_001016,murmer,Herzgeräusch,murmer,herzgeräusch,1
CARDIO_001017,VALVE,Herzklappe,valve,herzklappe,10
CARDIO_001018,Ventricular,Ventrikulär,ventricular,ventrikulär,6
CARDIO_001019,cycle lengths,Zykluslängen,cycle lengths,zykluslängen,2
CARDIO_001020,Ventricular stimulation,Ventrikuläre Stimulation,ventricular stimulation,ventrikuläre stimulation,1
CARDIO_001021,LVEF,LVEF,lvef,lvef,6
CARDIO_001022,LVEF,LVEF,lvef,lvef,10
CARDIO_001023,LVEDV,LVEDV,lvedv,lvedv,1
CARDIO_001024,Ventricular fibrillation,Kammerflimmern,ventricular fibrillation,kammerflimmern,2
CARDIO_001025,T-shock,T-Schock,t-shock,t-schock,1
CARDIO_001026,ECMO,ECMO,ecmo,ecmo,5
CARDIO_001027,vasotec,Vasotec,vasotec,vasotec,2
CARDIO_001028,Vascular disease,Gefäßerkrankung,vascular disease,gefäßerkrankung,1
CARDIO_001029,coronary arteries,Koronararterien,coronary arteries,koronararterien,14
CARDIO_001030,coronary artery .,Koronararterie .,coronary artery .,koronararterie .,6
CARDIO_001031,Valve,Klappe,valve,klappe,3
CARDIO_001032,femoral artery,Oberschenkelarterie,femoral artery,oberschenkelarterie,41
CARDIO_001033,PT,PT,pt,pt,2
CARDIO_001034,iliac,iliac,iliac,iliac,19
CARDIO_001035,posterior annulus,posteriorer Annulus,posterior annulus,posteriorer annulus,4
CARDIO_001036,radial artery,Radialarterie,radial artery,radialarterie,22
CARDIO_001037,strip,Streifen,strip,streifen,7
CARDIO_001038,supra - anularly,supra – anular,supra - anularly,supra – anular,1
CARDIO_001039,ACEI,ACEI,acei,acei,2
CARDIO_001040,vascular dementia,vaskuläre Demenz,vascular dementia,vaskuläre demenz,3
CARDIO_001041,sick sinus syndrome,Sick-Sinus-Syndrom,sick sinus syndrome,sick-sinus-syndrom,11
CARDIO_001042,MRIs,MRT-Untersuchungen,mris,mrt-untersuchungen,9
CARDIO_001043,panic attack,Panikattacke,panic attack,panikattacke,5
CARDIO_001044,UNSTABLE ANGINA,INSTABILE ANGINA,unstable angina,instabile angina,2
CARDIO_001045,ANGINA PECTORIS,ANGINA PECTORIS,angina pectoris,angina pectoris,2
CARDIO_001046,intra - arterial,intra – arteriell,intra - arterial,intra – arteriell,3
CARDIO_001047,CIRCULATION,KREISLAUF,circulation,kreislauf,4
CARDIO_001048,monitors,Monitore,monitors,monitore,1
CARDIO_001049,ventricular tachycardia,Ventrikuläre Tachykardie,ventricular tachycardia,ventrikuläre tachykardie,41
CARDIO_001050,CARDIAC PORTION OF THE,HERZABTEIL DES,cardiac portion of the,herzabteil des,1
CARDIO_001051,bacterial endocarditis,Bakterielle Endokarditis,bacterial endocarditis,bakterielle endokarditis,2
CARDIO_001052,renovascular,renovaskulär,renovascular,renovaskulär,2
CARDIO_001053,simvastatin,Simvastatin,simvastatin,simvastatin,2
CARDIO_001054,ENCEPHALOMALACIA,ENCEPHALOMALACIE,encephalomalacia,encephalomalacie,3
CARDIO_001055,femoral veins,Oberschenkelvenen,femoral veins,oberschenkelvenen,1
CARDIO_001056,AV node,AV-Knoten,av node,av-knoten,4
CARDIO_001057,isoproterenol,Isoproterenol,isoproterenol,isoproterenol,6
CARDIO_001058,mitral valve,Mitralklappe,mitral valve,mitralklappe,64
CARDIO_001059,tricuspid regurgitation,Trikuspidalinsuffizienz,tricuspid regurgitation,trikuspidalinsuffizienz,31
CARDIO_001060,pulmonic regurgitation,Pulmonalinsuffizienz,pulmonic regurgitation,pulmonalinsuffizienz,4
CARDIO_001061,left atrial enlargement,Vergrößerung des linken Vorhofs,left atrial enlargement,vergrößerung des linken vorhofs,6
CARDIO_001062,EF,EF,ef,ef,21
CARDIO_001063,pericardium,Perikard,pericardium,perikard,9
CARDIO_001064,Troponins,Troponine,troponins,troponine,1
CARDIO_001065,ARB,ARB,arb,arb,9
CARDIO_001066,BB,BB,bb,bb,1
CARDIO_001067,BNP,BNP,bnp,bnp,13
CARDIO_001068,HDL,HDL,hdl,hdl,6
CARDIO_001069,VLDL,VLDL,vldl,vldl,1
CARDIO_001070,isosorbide,Isosorbid,isosorbide,isosorbid,10
CARDIO_001071,LVAD,LVAD,lvad,lvad,25
CARDIO_001072,echocardiographic,echokardiographisch,echocardiographic,echokardiographisch,1
CARDIO_001073,Transthoracic Echocardiogram,Transthorakales Echokardiogramm,transthoracic echocardiogram,transthorakales echokardiogramm,2
CARDIO_001074,Aortic Root,Aortenwurzel,aortic root,aortenwurzel,3
CARDIO_001075,Systolic Diameter,systolischer Durchmesser,systolic diameter,systolischer durchmesser,1
CARDIO_001076,Atrium,Vorhof,atrium,vorhof,1
CARDIO_001077,Diastolic,Diastolisch,diastolic,diastolisch,4
CARDIO_001078,Aortic,Aorta,aortic,aorta,1
CARDIO_001079,Atrium,Vorhof,atrium,vorhof,1
CARDIO_001080,bumex,Bumex,bumex,bumex,2
CARDIO_001081,Lanoxin,Lanoxin,lanoxin,lanoxin,9
CARDIO_001082,isosorbide mononitrate,Isosorbidmononitrat,isosorbide mononitrate,isosorbidmononitrat,15
CARDIO_001083,CAROTID ARTERY,Halsschlagader,carotid artery,halsschlagader,2
CARDIO_001084,VASCULAR DISEASE,GEFÄSSERKRANKUNG,vascular disease,gefässerkrankung,1
CARDIO_001085,RESTENOSIS,RESTENOSE,restenosis,restenose,1
CARDIO_001086,PRIMARY TEAM,PRIMÄRTEAM,primary team,primärteam,1
CARDIO_001087,DISSECTION,DISSEKTION,dissection,dissektion,3
CARDIO_001088,MB - CPK,MB – CPK,mb - cpk,mb – cpk,1
CARDIO_001089,DESCENDING THORACIC AORTA,ABSTEIGENDE THORAKALE AORTA,descending thoracic aorta,absteigende thorakale aorta,3
CARDIO_001090,PULMONARY ARTERY,Lungenarterie,pulmonary artery,lungenarterie,11
CARDIO_001091,TORSADES DE POINTES,TORSADES DE POINTES,torsades de pointes,torsades de pointes,1
CARDIO_001092,Toprol XL,Toprol XL,toprol xl,toprol xl,7
CARDIO_001093,Ace,Ace,ace,ace,1
CARDIO_001094,palpitations,Herzklopfen,palpitations,herzklopfen,27
CARDIO_001095,SVT,SVT,svt,svt,15
CARDIO_001096,pacemaker dysfunction,Funktionsstörung des Herzschrittmachers,pacemaker dysfunction,funktionsstörung des herzschrittmachers,1
CARDIO_001097,PRINIVIL,PRINIVIL,prinivil,prinivil,6
CARDIO_001098,Epithelial cells,Epithelzellen,epithelial cells,epithelzellen,2
CARDIO_001099,epithelial,Epithel,epithelial,epithel,13
CARDIO_001100,lupus anticoagulant,Lupus-Antikoagulans,lupus anticoagulant,lupus-antikoagulans,13
CARDIO_001101,aortic aneurysm,Aortenaneurysma,aortic aneurysm,aortenaneurysma,13
CARDIO_001102,Abdominal aortic aneurysm,Bauchaortenaneurysma,abdominal aortic aneurysm,bauchaortenaneurysma,2
CARDIO_001103,CAVOATRIAL JUNCTION,CAVOATRIALE VERBINDUNG,cavoatrial junction,cavoatriale verbindung,5
CARDIO_001104,SUBCLAVIAN,SUBCLAVIAN,subclavian,subclavian,3
CARDIO_001105,Timolol maleate,Timololmaleat,timolol maleate,timololmaleat,1
CARDIO_001106,thyrotoxic,thyreotoxisch,thyrotoxic,thyreotoxisch,1
CARDIO_001107,cardiovascular,kardiovaskulär,cardiovascular,kardiovaskulär,24
CARDIO_001108,atrium,Vorhof,atrium,vorhof,12
CARDIO_001109,His,His,his,his,2
CARDIO_001110,right ventricular,rechtsventrikulär,right ventricular,rechtsventrikulär,49
CARDIO_001111,outflow tract,Ausflusstrakt,outflow tract,ausflusstrakt,4
CARDIO_001112,pacing threshold,Stimulationsschwelle,pacing threshold,stimulationsschwelle,8
CARDIO_001113,AORTIC VALVE,Aortenklappe,aortic valve,aortenklappe,8
CARDIO_001114,leads,Elektroden,leads,elektroden,29
CARDIO_001115,tpa,tpa,tpa,tpa,1
CARDIO_001116,cva,cva,cva,cva,2
CARDIO_001117,Afib,Vorhofflimmern,afib,vorhofflimmern,13
CARDIO_001118,CABG,CABG,cabg,cabg,62
CARDIO_001119,pulses,Pulse,pulses,pulse,1
